subject,questionnaire,word,sound,vowel_type,short_long,trial,F1,F2,duration
SM,q1,kāl,a:,a,long,c,744.6147763851071,1457.9488735159869,0.23160735545408784
SM,q1,gārm,a:,a,long,c,773.4232308220212,1572.5325034983414,0.2268002469439807
SM,q1,xīr,i:,i,long,c,405.392415947618,2373.258856612662,0.2247823695529405
LT,q1,čust,u,u,short,1,510.3422208711076,1459.0844543441917,0.07884584168306219
MF,q1,gārm,a:,a,long,c,621.0728285960762,1353.8330557045529,0.2077694939098933
SM,q1,žīr,i:,i,long,c,383.4351997713596,2661.179993452584,0.20290354693922552
SM,q1,pāst,a:,a,long,c,799.6710405953705,1455.657351659936,0.18796057056178483
LT,q1,čust,u,u,short,2,459.48371025588887,1493.9072000694111,0.08780634718394253
SM,q1,lavʒ,a,a,short,c,768.7573573532752,1807.2225982709756,0.1789679404911908
SM,q1,sūr,u:,u,long,c,367.3988711234608,860.8464439416497,0.17657663322648887
SM,q1,x̌ūʒ,u:,u,long,c,314.7998864289004,725.6948744529694,0.1739385292584661
SM,q1,žarn,a,a,short,c,722.9481923569282,1865.7076038938037,0.16582097799917506
SM,q1,x̌irn,i,i,short,c,554.764946277786,2426.4991771184373,0.16442213381534287
MF,q1,xīr,i:,i,long,c,392.3635079059697,2374.5122201850327,0.1628118037981494
SM,q1,māš,a:,a,long,c,790.0290956591847,1593.4552478658243,0.15890770371456142
LT,q1,čust,u,u,short,3,521.3603411810416,1552.7834677098228,0.06379984437992903
MF,q1,ðud,u,u,short,c,508.81848026938434,1152.8110086856152,0.15150179186467483
SM,q1,tāt,a:,a,long,c,821.7378713839909,1711.6429913014042,0.14902044870203213
LT,q1,čust,u,u,short,4,551.1707495188849,1626.0656781402204,0.04869571190144484
MF,q1,x̌ūʒ,u:,u,long,c,370.0765937119627,1034.300452013965,0.14304876090420748
SM,q1,nay,a,a,short,c,873.8513154837832,1856.5376166110223,0.1418264560653597
SM,q1,xūrn,u:,u,long,c,359.25603908626346,586.455583230084,0.14016713617854748
SM,q1,ziv,i,i,short,c,387.0436461168398,2276.9679867650725,0.1401078623379135
MF,q1,tīzd,i:,i,long,c,379.09684949678905,2581.470472837624,0.1388352889711939
MF,q1,x̌ūʒ,u:,u,long,c,365.3690359485095,1162.2298714420674,0.13880207012478607
MF,q1,žarn,a,a,short,c,603.3544235456257,1550.2538481550566,0.1378385867625127
SM,q1,ðud,u,u,short,c,409.70192626546145,602.1075636783536,0.13404471039996224
SM,q1,čīd,i:,i,long,c,360.0237343102587,2664.103863893261,0.13225783397405166
MF,q1,sūr,u:,u,long,c,387.97160954587736,1077.4109103664382,0.1317693509736273
MF,q1,pāst,a:,a,long,c,588.9717248113428,1187.6115462766727,0.13011806027168404
SM,q1,kal,a,a,short,c,796.1391031311001,1871.989970949335,0.12679032136742308
MF,q1,čūrð,u:,u,long,c,388.550556671683,1212.0076016024138,0.12642840465940708
MF,q1,xūrn,u:,u,long,c,331.4354861135739,904.1374131295742,0.12459629535098316
MF,q1,tāt,a:,a,long,c,581.9055571086558,1594.5964562145757,0.1213613121995536
LT,q1,čux̌,u,u,short,1,497.91717400466183,1211.5265501692586,0.08673364016766527
MF,q1,žīr,i:,i,long,c,391.1410716171638,2101.8316181350024,0.11777291313956084
LT,q1,čux̌,u,u,short,2,601.3040684179922,1261.345774581072,0.08113024122752677
MF,q1,mūn,u:,u,long,c,297.90822621884774,923.0316769283148,0.11461737376714609
MF,q1,kāl,a:,a,long,c,610.868882611658,1276.5379805073803,0.11252853487715697
SM,q1,čax̌,a,a,short,c,837.1022086122308,1858.8516201021707,0.10736753261991794
MF,q1,lavʒ,a,a,short,c,665.5559232345975,1555.1694619016382,0.10734275515585523
SM,q1,wax̌t,a,a,short,c,642.5708170945012,1315.7094339191726,0.10688672331839655
LT,q1,čux̌,u,u,short,3,549.4583361814243,1204.2378897276847,0.07582596887868931
SM,q1,wūrj,u:,u,long,c,357.4652473472513,846.1800123204199,0.10435057930073732
SM,q1,tux̌p,u,u,short,c,522.4016434590626,948.7470570746527,0.10417955382669675
MF,q1,siʒ,i,i,short,c,492.0902348406067,2062.8785385310916,0.10023949986808134
MF,q1,nay,a,a,short,c,595.397017092295,1782.7704279561385,0.09732291273604687
MF,q1,wax̌t,a,a,short,c,635.8397891649574,1354.1087672523756,0.0894559773525998
SM,q1,piš,i,i,short,c,534.7942957135823,2407.162962488352,0.08890889706162852
LT,q1,čux̌,u,u,short,4,506.0689695135083,1157.9377175171253,0.06670845401549741
MF,q1,čīd,i:,i,long,c,365.6570550916126,2535.4766394034496,0.08301286891507687
SM,q1,čux̌,u,u,short,c,441.17908279080945,845.4076344093651,0.079406783638035
MF,q1,x̌irn,i,i,short,c,516.9549649950891,2148.9149937659117,0.07570671112407013
MF,q1,siʒ,i,i,short,c,457.09320874713325,1952.9759384613255,0.07552544191591437
SM,q1,хаx̌,a,a,short,c,792.4749601027601,1661.6844235694757,0.07530710055871737
MF,q1,xist,i,i,short,c,503.69983518292776,2195.8510638491116,0.07503048846209026
MF,q1,kal,a,a,short,c,619.6385471410778,1505.0010473506768,0.0743829378830867
MF,q1,čax̌,a,a,short,c,580.9359349413079,1799.3801375364915,0.07423917106973477
SM,q1,puc,u,u,short,c,335.48203986999204,647.5147949765209,0.0685966620338263
SM,q1,xist,i,i,short,c,468.8562782039681,2029.3138075309528,0.06750875109511867
MF,q1,ziv,i,i,short,c,441.2844321544607,1912.221469178941,0.06745090602623804
MF,q1,wax̌t,a,a,short,c,599.4508969002857,1442.0285888596688,0.06673678733751132
LT,q1,ðud,u,u,short,1,598.862782235438,1380.8815474936257,0.18874550100632348
SM,q1,siʒ,i,i,short,c,459.73461313059727,2190.300596430304,0.06479204903949665
LT,q1,ðud,u,u,short,2,640.5946532992956,1402.0098127238869,0.1771890493248378
MF,q1,хаx̌,a,a,short,c,630.1028762710891,1547.6811629678398,0.06347158332056324
MF,q1,māš,a:,a,long,c,607.3857131351625,1494.9819135467544,0.06336381384514311
MF,q1,ðust,u,u,short,c,527.3439810934722,1628.3257690970565,0.056939887262387856
SM,q1,ðust,u,u,short,c,300.2004343819932,649.9999597086779,0.05681663121629299
MF,q1,puc,u,u,short,c,511.69676909635297,1418.92675312775,0.05173806189907282
